如何办理校园卡？|带上身份证去行政楼一楼校园卡服务中心办理
图书馆几点开门？|早上8点到晚上10点半
宿舍断网了怎么办？|请联系学校的网络中心，电话是88881234
宿舍断电了怎么办？|请直接联系宿管询问相关情况，或在后勤公众号报修
食堂什么时候开饭？|早餐6:30，午餐11:00，晚餐17:00开始供应
哪里可以打印成绩单？|请前往行政楼二楼教务处大厅使用自助打印机
校医院在哪里？|在图书馆北侧的白色小楼里，靠近北门
怎么连接校园Wifi？|搜索SSID“Campus-Net”，用户名为学号，初始密码为身份证后六位
捡到东西交给谁？|请送到一号楼一楼的失物招领处，或者交给安保人员
学校大概有多少学生？|目前在校本科生及研究生共计约两万人
补办学生证需要多久？|申请提交后，通常需要3-5个工作日
体育馆对学生免费吗？|凭本人学生证可以免费进入篮球馆和羽毛球馆
周末校车几点发车？|周末校车每小时一班，整点在南门发车
想要申请奖学金有什么条件？|需要在教务系统查看《学生手册》中的具体评定标准
外卖可以送到宿舍楼下吗？|不可以，外卖请在宿舍区门口的外卖柜自取
教务系统密码忘记了怎么办？|请携带学生证到所属学院教务科重置密码
四六级什么时候报名？|通常在每年的3月和9月，具体请关注教务处通知
怎么选修体育课？|每学期开学前两周在教务系统“网上选课”模块进行操作
重修怎么报名？|开学后第三周关注教务系统重修报名通知并完成缴费
缓考怎么申请？|考试前至少提前3个工作日向辅导员提交三甲医院证明及缓考申请表
大一可以带电脑吗？|学校对大自带电脑没有限制，但建议妥善保管
毕业设计什么时候开题？|一般在大四上学期期末或下学期开学初进行
怎么查绩点？|登录微信企业号“惠州学院”或直接访问教务处官网查询
普通话考试在哪报名？|请关注人文学院或继续教育学院每学期发布的考试通知
跨专业考研需要注意什么？|需要提前了解目标院校的专业课大纲，部分专业可能有前置课程要求
图书馆的书可以借多久？|本科生一次最多借15本，借期30天，可续借一次
怎么在图书馆预约座位？|请使用“学习通”APP或图书馆微信公众号的“座位预约”系统
图书馆电子资源怎么在校外用？|请下载并登录学校的VPN客户端访问知网等数据库
还书超期了有罚款吗？|超期按每天0.1元收取滞纳金，需在服务台缴清后才能继续借书
图书馆有空调吗？|一楼到五楼的阅览室及自习区均全天开放中央空调
怎么推荐图书馆采购新书？|在图书馆官网的“读者荐购”板块填写书目信息即可
洗澡水不热怎么办？|请避开晚上21:00-22:30的用水高峰期，若持续不热请报修
宿舍空调怎么充值？|在微信小程序“智慧后勤”中绑定宿舍号即可在线充值电费
饮水机坏了怎么修？|饮水机侧面有厂家维修电话，直接拨打即可免费上门
可以自己买洗衣机放宿舍吗？|严禁私拉电线及使用大功率违章电器，宿舍楼栋已配备公用洗衣机
寝室门禁是几点？|周日到周四晚23:00，周五周六晚23:30锁门
怎么申请调换宿舍？|需经过辅导员审批同意，并在每学期末向宿管中心提交纸质申请
清真食堂在哪里？|在第二学生食堂的三楼
校内超市可以用微信支付吗？|校内所有商超及食堂均支持微信、支付宝及校园卡支付
哪个食堂有宵夜？|第三食堂一楼提供宵夜服务，营业至晚上23:00
快递地址怎么填？|XX省XX市XX区惠州学院XX区XX号楼，电话填本人手机号
顺丰快递在哪里拿？|在西门附近的综合快递驿站
医保怎么报销？|带着校医院转诊单和三甲医院发票、病历，每月15号到财务处办理
学费怎么交？|每学年开学前通过学校统一缴费平台（微信/支付宝）缴纳
开学要迁户口吗？|户口迁移采取自愿原则，不是强制要求
怎么开具在读证明？|行政楼一楼大厅的自助终端可凭身份证免费打印
助学贷款怎么续贷？|每年7-8月登录国家开发银行生源地助学贷款系统提交续贷申请
校园卡丢了怎么挂失？|立即在校园微信公众号或圈存机上操作挂失，防止盗刷
正版软件去哪下载？|学校信息化中心网站提供正版Windows和Office下载及激活服务
怎么开通校园网宽带？|带着校园卡到网管中心营业厅或在迎新APP上自助办理
VPN密码不正确怎么办？|VPN账号密码与统一身份认证平台一致，若不对请重置统一平台密码
有人推销英语报纸能信吗？|警惕上门推销，学校严禁任何商业推销进入宿舍，遇到请报告宿管
遇到诈骗怎么报警？|立即拨打110，并联系学校保卫处值班电话及辅导员
心理咨询室在哪？|在学生活动中心四楼，需要提前在网上或电话预约
发现火情怎么办？|保持冷静，按下走廊的消防报警按钮，使用灭火器或迅速沿安全通道撤离
操场晚上开灯到几点？|东区田径场晚上的照明灯会开放到22:00
辅导员办公室在哪？|请在各学院官网的“师资队伍”或“学生工作”栏目查询
怎么加入学生会？|每年9月中旬，校学生会及各院学生会都会在操场或主干道摆摊招新
社团活动室可以借用吗？|社团负责人可以通过团委系统申请借用大学生活动中心的场地
勤工助学岗位怎么申请？|开学初关注学工部的通知，贫困生优先安排
大学生医保交多少钱？|每年按当地医保局当年公布的统一标准缴纳，通常在300-400元之间
怎么申请走读？|因特殊情况需要走读的，需家长签字同意，并报学院及学生处审批
体测不及格影响毕业吗？|根据教育部规定，体测成绩达不到50分按结业或肄业处理
创新学分怎么修？|参加学科竞赛、发表论文、考取专业证书等均可申请折算创新学分
评优评先看什么？|主要看综合测评成绩，包括学业成绩、德育表现和课外活动加分
晚上自习去哪里？|除了图书馆，教学楼A区和B区晚上均开放为空教室供学生自习
机房能随便进吗？|只有在安排了上机课程的时间段才对相应班级开放，部分机房提供自由上机
实验报告纸去哪买？|校内文印店或校园超市的文具区均有售
复印店能洗照片吗？|生活区的部分图文快印店提供证件照冲洗服务
驾校在学校有报名点吗？|西门外有多家驾校招生点，请注意甄别资质
自行车可以停宿舍楼下吗？|请将自行车停放在划定的非机动车停车线内，严禁堵塞消防通道
电动车能进校园吗？|目前校园内限制外来电动车进入，学生自己的电动车需办理通行证
有失物招领群吗？|学校的贴吧、表白墙以及各年级QQ群通常会有失物招领信息
放假行李能存学校吗？|学校不提供统一存放服务，贵重物品务必带走
怎么投诉食堂饭菜质量？|可直接向食堂经理反映，或在后勤服务公众号留言投诉
女生宿舍男生能进吗？|严禁异性进入宿舍，搬行李等特殊情况需辅导员和宿管双重批准
假期留校要办手续吗？|寒暑假留校需提前向学院提交留校申请书并签署安全责任书
被狗咬了去哪打狂犬疫苗？|校医院不提供狂犬疫苗，请立即前往市中心医院或定点防疫站
怎么查询空教室？|教务处官网首页有“空闲教室查询”入口，可实时查看
校服/军训服去哪领？|大一新生报到时，以班级为单位到指定物资发放点统一领取
